60.94,357514,453.24
61.06,358513,453.00
61.13,359514,452.13
61.31,360514,451.88
61.44,361513,450.38
61.56,362514,449.50
61.63,363513,448.62
61.75,364514,448.36
61.88,365514,447.47
61.94,366514,446.59
62.00,367514,446.32
62.06,368514,446.06
62.13,369514,445.79
62.25,370514,445.52
62.31,371514,444.63
62.44,372514,444.36
62.50,373514,443.46
62.56,374514,443.18
62.63,375515,442.91
62.75,376514,442.63
62.81,377515,441.73
62.81,378514,441.44
62.94,379514,441.79
62.94,380514,440.88
63.00,381514,441.22
63.13,382515,440.94
63.19,383514,440.02
63.31,384515,439.73
63.38,385514,438.82
63.50,386514,438.52
63.63,387515,437.60
63.75,388514,436.68
63.81,389515,435.76
63.88,390514,435.46
64.00,391515,435.15
64.12,392515,434.22
64.19,393515,433.29
64.31,394515,432.98
64.44,395514,432.05
64.50,396515,431.11
64.62,397515,430.79
64.69,398515,429.85
64.81,399515,429.53
64.87,400515,428.58
65.00,401515,428.26
65.12,402515,427.31
65.19,403515,426.36
65.31,404515,426.03
65.44,405515,425.07
65.50,406515,424.12
65.56,407516,423.78
65.69,408515,423.45
65.75,409516,422.48
65.81,410515,422.14
65.87,411515,421.80
65.94,412515,421.46
66.06,413515,421.11
66.06,414516,420.14
66.19,415515,420.42
66.25,416516,419.45
66.31,417515,419.10
66.44,418515,418.75
66.50,419516,417.77
66.62,420515,417.41
66.69,421516,416.43
66.75,422515,416.07
66.81,423516,415.71
66.94,424516,415.35
67.00,425516,414.36
67.06,426516,414.00
67.19,427515,413.63
67.31,428516,412.64
67.44,429516,411.64
67.50,430516,410.64
67.62,431516,410.27
67.75,432516,409.26
67.87,433516,408.26
68.00,434516,407.25
68.12,435516,406.24
68.25,436516,405.23
68.37,437516,404.21
68.44,438516,403.20
68.50,439517,402.80
68.56,440516,402.41
68.62,441517,402.01
68.62,442516,401.61
68.69,443516,401.84
68.75,444516,401.44
68.81,445516,401.04
68.87,446517,400.64
68.94,447516,400.24
69.00,448517,399.84
69.06,449516,399.43
69.12,450516,399.02
69.19,451517,398.62
69.25,452516,398.21
69.31,453517,397.80
69.44,454516,397.39
69.50,455517,396.35
69.62,456516,395.93
69.69,457517,394.89
69.75,458517,394.47
69.87,459516,394.05
69.94,460517,393.00
70.06,461516,392.58
70.19,462517,391.53
70.31,463517,390.48
70.37,464517,389.42
70.50,465517,388.99
70.56,466516,387.93
70.69,467517,387.49
70.75,468517,386.43
70.81,469517,385.99
70.81,470517,385.55
70.87,471517,385.73
70.94,472517,385.29
70.94,473518,384.84
71.00,474517,385.02
71.06,475517,384.58
71.12,476517,384.13
71.12,477517,383.69
71.19,478517,383.86
71.31,479517,383.41
71.37,480518,382.34
71.50,481517,381.88
71.62,482518,380.80
71.69,483517,379.72
71.69,484517,379.26
71.81,485518,379.43
71.81,486517,378.34
71.94,487518,378.51
72.00,488517,377.42
72.12,489518,376.95
72.25,490518,375.86
72.44,491517,374.77
72.56,492518,373.04
72.69,493517,371.94
72.87,494518,370.84
72.94,495518,369.10
73.06,496518,368.62
73.12,497518,367.51
73.19,498518,367.02
73.25,499518,366.53
73.31,500518,366.04
73.31,501518,365.55
73.37,502518,365.69
73.44,503518,365.19
73.44,504518,364.70
73.44,505518,364.83
73.44,506518,364.96
73.50,507518,365.09
73.56,508518,364.60
73.62,509518,364.10
73.62,510518,363.61
73.69,511518,363.73
73.81,512519,363.23
73.87,513518,362.11
74.00,514519,361.61
74.12,515518,360.48
74.25,516518,359.34
74.37,517519,358.21
